,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),(W/mt2),Xylene (ug/m3)
329,16-Mar-2021 - 00:00,17-Mar-2021 - 00:00,44.51,96.46,11.54,1.79,17.03,15.95,20.67,0.52,5.58,0.02,,,0.12,,,,,,
330,17-Mar-2021 - 00:00,18-Mar-2021 - 00:00,48.18,108.45,11.91,3.19,18.63,19.29,20.51,0.58,7.29,5.34,,0.02,0.15,,,,,,
331,18-Mar-2021 - 00:00,19-Mar-2021 - 00:00,45.3,121.26,11.52,2.25,17.4,17.42,21.34,0.46,6.44,0.01,,,0.12,,,,,,
332,19-Mar-2021 - 00:00,20-Mar-2021 - 00:00,63.26,186.34,11.51,2.58,16.6,17.91,19.74,0.47,8.83,0.01,0.0,0.01,0.11,,,,,,
333,20-Mar-2021 - 00:00,21-Mar-2021 - 00:00,69.78,175.99,11.66,1.97,17.02,20.32,19.71,0.58,6.37,0.02,0.0,,0.11,,,,,,
334,21-Mar-2021 - 00:00,22-Mar-2021 - 00:00,60.4,133.4,11.48,0.91,16.14,19.26,19.97,0.58,4.16,0.02,,0.01,0.11,,,,,,
335,22-Mar-2021 - 00:00,23-Mar-2021 - 00:00,45.62,99.17,11.5,1.83,17.02,20.42,20.86,0.58,4.85,0.02,,,0.13,,,,,,
336,23-Mar-2021 - 00:00,24-Mar-2021 - 00:00,41.17,91.41,11.48,2.2,17.33,20.6,20.72,0.59,5.01,0.02,,0.01,0.14,,,,,,
337,24-Mar-2021 - 00:00,25-Mar-2021 - 00:00,63.04,126.43,11.49,1.99,17.15,20.76,20.56,0.68,5.81,0.03,,0.01,0.14,,,,,,
338,25-Mar-2021 - 00:00,26-Mar-2021 - 00:00,66.72,134.24,11.48,2.2,17.33,18.64,21.55,0.78,5.55,0.03,,0.02,0.14,,,,,,
339,26-Mar-2021 - 00:00,27-Mar-2021 - 00:00,35.45,96.16,11.51,2.25,17.43,19.66,23.52,0.53,5.47,0.01,,,0.13,,,,,,
340,27-Mar-2021 - 00:00,28-Mar-2021 - 00:00,50.3,116.64,11.47,1.85,17.01,21.02,23.73,0.6,5.29,0.02,,,0.12,,,,,,
341,28-Mar-2021 - 00:00,29-Mar-2021 - 00:00,47.27,110.44,11.44,0.8,16.01,20.65,23.08,0.58,4.87,0.02,,,0.1,,,,,,
342,29-Mar-2021 - 00:00,30-Mar-2021 - 00:00,67.95,149.35,11.4,1.65,16.75,19.99,23.65,0.72,8.42,0.02,,,0.08,,,,,,
343,30-Mar-2021 - 00:00,31-Mar-2021 - 00:00,39.87,88.42,11.47,2.16,16.62,19.96,23.67,0.46,12.88,0.0,0.0,,0.04,,,,,,
344,31-Mar-2021 - 00:00,01-Apr-2021 - 00:00,34.75,83.11,11.49,1.29,16.52,11.76,21.55,0.44,7.14,0.01,,,0.04,,,,,,
345,01-Apr-2021 - 00:00,02-Apr-2021 - 00:00,28.77,73.92,11.47,1.44,16.62,12.11,22.39,0.37,9.78,0.01,,,0.04,,,,,,
346,02-Apr-2021 - 00:00,03-Apr-2021 - 00:00,31.7,84.54,11.46,0.66,15.92,10.68,22.76,0.34,6.12,0.01,,,0.02,,,,,,
347,03-Apr-2021 - 00:00,04-Apr-2021 - 00:00,39.23,90.01,11.59,2.33,17.16,19.45,16.52,0.43,11.85,0.02,,0.01,0.07,,,,,,
348,04-Apr-2021 - 00:00,05-Apr-2021 - 00:00,19.5,61.55,11.47,0.7,15.93,18.29,3.09,0.27,5.06,0.01,,,0.07,,,,,,
349,05-Apr-2021 - 00:00,06-Apr-2021 - 00:00,20.43,50.89,8.48,3.26,11.72,14.32,2.29,0.28,14.19,0.01,0.0,,0.06,48.15,1.18,183.17,,,
350,06-Apr-2021 - 00:00,07-Apr-2021 - 00:00,35.72,79.96,0.03,3.16,1.88,2.75,1.51,0.53,20.91,0.01,0.0,,0.07,46.57,1.43,162.49,,,
351,07-Apr-2021 - 00:00,08-Apr-2021 - 00:00,39.47,95.36,0.03,2.6,1.71,3.12,1.6,0.71,4.48,0.02,,,0.1,60.81,1.05,192.38,,,
352,08-Apr-2021 - 00:00,09-Apr-2021 - 00:00,32.8,85.91,0.03,2.15,1.3,2.72,1.75,0.55,,0.01,,,0.07,70.87,1.38,198.14,,,
353,09-Apr-2021 - 00:00,10-Apr-2021 - 00:00,22.81,63.91,0.04,2.41,1.57,2.48,2.19,0.55,0.83,0.0,,,0.08,72.49,1.38,197.58,,,
354,10-Apr-2021 - 00:00,11-Apr-2021 - 00:00,21.49,68.11,0.94,1.76,1.08,10.04,2.22,0.57,,4.92,,,0.09,77.81,0.83,189.52,,,
355,11-Apr-2021 - 00:00,12-Apr-2021 - 00:00,22.6,73.74,0.03,1.47,0.66,2.53,1.72,0.43,,0.0,,,0.08,63.69,0.85,179.95,,,
356,12-Apr-2021 - 00:00,13-Apr-2021 - 00:00,24.81,78.37,0.03,2.47,1.59,5.85,2.05,0.49,22.42,0.63,0.0,,0.08,59.01,1.0,191.13,,,
357,13-Apr-2021 - 00:00,14-Apr-2021 - 00:00,22.72,73.71,0.03,2.19,1.31,2.98,2.69,0.55,10.22,0.0,,,0.1,64.58,0.91,202.55,,,
358,14-Apr-2021 - 00:00,15-Apr-2021 - 00:00,20.98,69.75,0.02,1.92,1.05,3.94,3.12,0.45,11.01,0.0,0.0,,0.08,61.55,1.09,207.88,,,
359,15-Apr-2021 - 00:00,16-Apr-2021 - 00:00,20.11,67.27,0.03,2.5,1.56,4.0,3.0,0.4,6.28,0.0,0.0,,0.08,52.21,1.34,213.54,,,
360,16-Apr-2021 - 00:00,17-Apr-2021 - 00:00,18.75,58.92,0.03,2.43,1.48,3.84,3.39,0.34,4.54,0.01,,,0.05,64.42,1.94,178.43,,,
361,17-Apr-2021 - 00:00,18-Apr-2021 - 00:00,9.37,42.42,0.03,1.98,1.19,0.63,2.18,0.33,2.24,0.01,,,0.04,70.33,1.43,176.85,,,
362,18-Apr-2021 - 00:00,19-Apr-2021 - 00:00,6.44,30.77,0.03,1.2,0.45,1.3,2.9,0.24,,0.01,,,0.04,59.7,1.31,210.65,,,
363,19-Apr-2021 - 00:00,20-Apr-2021 - 00:00,9.17,34.91,0.03,2.55,1.66,1.56,2.3,0.25,17.39,0.01,,,0.03,79.67,2.06,204.98,,,
364,20-Apr-2021 - 00:00,21-Apr-2021 - 00:00,13.58,59.42,0.04,1.54,0.76,0.54,2.61,0.2,,0.01,,,0.02,56.56,1.55,192.92,,,
